, $hid, $score, $grank, $crank
07302941,1,92.5,0,6
07302949,1,90,0,11
07302950,1,95,0,4
07302952,1,92.5,0,7
07302962,1,80,0,34
07302963,1,97.5,0,2
07302981,1,87.5,0,17
07302982,1,87.5,0,18
07302985,1,90,0,12
07302986,1,87.5,0,19
07302987,1,97.5,0,3
07302990,1,87.5,0,20
07302991,1,87.5,0,21
07302996,1,85,0,26
07303006,1,0,0,52
07303007,1,92.5,0,8
07303010,1,85,0,27
07303117,1,87.5,0,22
07303118,1,87.5,0,23
07303124,1,90,0,13
07303126,1,60,0,50
07303130,1,60,0,51
07303144,1,85,0,28
07303147,1,85,0,29
07303158,1,100,0,1
07303164,1,87.5,0,24
07303166,1,65,0,48
07303175,1,95,0,5
07303195,1,0,0,53
07303206,1,0,0,54
07303233,1,0,0,55
08337054,1,0,0,56
08386002,1,87.5,0,25
08386016,1,75,0,39
08386017,1,65,0,49
08386027,1,0,0,57
08386030,1,72.5,0,43
08386034,1,0,0,58
08386050,1,75,0,40
08386051,1,72.5,0,44
08386053,1,90,0,14
08386061,1,80,0,35
08386102,1,90,0,15
08386110,1,85,0,30
08386118,1,77.5,0,36
08386135,1,77.5,0,37
08386154,1,77.5,0,38
08386218,1,72.5,0,45
08386220,1,82.5,0,32
08386221,1,67.5,0,47
08386238,1,0,0,59
08386258,1,92.5,0,9
08386264,1,92.5,0,10
08386271,1,72.5,0,46
08386274,1,0,0,60
08386294,1,82.5,0,33
08386299,1,0,0,61
08386303,1,75,0,41
08387011,1,90,0,16
08387014,1,0,0,62
08387017,1,85,0,31
08387018,1,75,0,42
07302941,2,89,0,15
07302949,2,85.625,0,21
07302950,2,95,0,6
07302952,2,77.5,0,37
07302962,2,91.375,0,10
07302963,2,97.15,0,4
07302981,2,86.25,0,20
07302982,2,77.5,0,38
07302985,2,84.5,0,26
07302986,2,84.875,0,25
07302987,2,82.5,0,29
07302990,2,95,0,7
07302991,2,81,0,32
07302996,2,90.625,0,12
07303006,2,0,0,54
07303007,2,88.75,0,16
07303010,2,100,0,1
07303117,2,79.375,0,35
07303118,2,73.125,0,44
07303124,2,95.275,0,5
07303126,2,76.25,0,41
07303130,2,75.375,0,43
07303144,2,82.5,0,30
07303147,2,70,0,49
07303158,2,80.75,0,33
07303164,2,91.5,0,8
07303166,2,70,0,50
07303175,2,80.75,0,34
07303195,2,0,0,55
07303206,2,0,0,56
07303233,2,0,0,57
08337054,2,70,0,51
08386002,2,87.5,0,18
08386016,2,89.125,0,14
08386017,2,76.25,0,42
08386027,2,0,0,58
08386030,2,67.5,0,52
08386034,2,0,0,59
08386050,2,72.5,0,45
08386051,2,85,0,23
08386053,2,82.5,0,31
08386061,2,77.5,0,39
08386102,2,87.5,0,19
08386110,2,83.125,0,27
08386118,2,78.75,0,36
08386135,2,67.5,0,53
08386154,2,83.125,0,28
08386218,2,85,0,24
08386220,2,88.5,0,17
08386221,2,72.5,0,46
08386238,2,0,0,60
08386258,2,91.25,0,11
08386264,2,97.5,0,3
08386271,2,85.5,0,22
08386274,2,0,0,61
08386294,2,100,0,2
08386299,2,0,0,62
08386303,2,90.25,0,13
08387011,2,91.5,0,9
08387014,2,71.875,0,48
08387017,2,76.625,0,40
08387018,2,72.5,0,47
07302941,3,90.5,0,9
07302949,3,87.5,0,19
07302950,3,89.375,0,15
07302952,3,72.5,0,42
07302962,3,80.75,0,34
07302963,3,90.5,0,10
